발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X(UTMK),발생위치Y(UTMK),경도,위도
2021,2021-01-03 01:00,야,일,1,0,0,0,0,전남,여수시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1005238,1648783,127.557286,34.83365711
2021,2021-01-03 12:00,주,일,1,0,0,0,0,서울,종로구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승합차,보행자,955751,1953865.7,126.9988351,37.58311754
2021,2021-01-03 23:00,야,일,1,0,0,0,0,전남,무안군,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,승용차,보행자,902330.7,1657415.4,126.4309032,34.90681196
2021,2021-01-04 00:00,야,월,1,0,0,0,0,경남,창원시(통합),차대차,정면충돌,정면충돌,기타,단일로,기타단일로,이륜차,승용차,1097886,1693194,128.5756928,35.22936208
2021,2021-01-04 07:00,주,월,1,1,1,0,0,전남,여수시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,이륜차,1017795,1642380,127.694481,34.77577472
2021,2021-01-04 10:00,주,월,1,0,0,0,0,경기,파주시,차대사람,보도통행중,보도통행중,중앙선 침범,단일로,기타단일로,화물차,보행자,942547,1975961,126.8475523,37.7815285
2021,2021-01-04 16:00,주,월,1,1,1,0,0,경기,안성시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,989286,1886297,127.3796249,36.97505593
2021,2021-01-04 17:00,주,월,1,0,0,0,0,충남,예산군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,926075,1853544,126.6726535,36.67698466
2021,2021-01-04 23:00,야,월,1,1,0,1,0,경기,성남시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,964038,1934275,127.0936492,37.40689899
2021,2021-01-05 05:00,야,화,1,0,0,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,877279.1,1482508.6,126.1814542,33.32707725
2021,2021-01-05 06:00,주,화,1,0,0,0,0,전남,나주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,931830.1,1671389.9,126.752633,35.0352275
2021,2021-01-05 10:00,주,화,1,0,0,0,0,경기,광주시,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,화물차,보행자,985727,1927803,127.3388463,37.34914985
2021,2021-01-05 14:00,주,화,1,0,0,0,0,경남,김해시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,1126964,1697595,128.8958431,35.2657735
2021,2021-01-05 18:00,야,화,1,0,0,0,0,경남,양산시,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승용차,보행자,1139179,1707283,129.0317397,35.35147519
2021,2021-01-05 21:00,야,화,1,0,0,0,0,부산,금정구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1144597,1697996,129.0897086,35.26699658
2021,2021-01-05 22:00,야,화,2,0,0,0,0,경기,안양시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,고가도로위,승용차,승용차,951621,1930144,126.9536194,37.36909909
2021,2021-01-06 09:00,주,수,1,0,0,0,0,경북,칠곡군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1081026,1778164,128.3989675,35.9969071
2021,2021-01-06 14:00,주,수,1,0,0,0,0,경기,안산시,차대차,측면충돌,측면충돌,기타,교차로,교차로부근,이륜차,승용차,943267,1922944,126.8598273,37.30372949
2021,2021-01-06 18:00,야,수,1,2,0,2,0,서울,송파구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,968687,1945303,127.1457108,37.5064694
2021,2021-01-06 18:00,야,수,1,0,0,0,0,경북,구미시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,1082489,1793297,128.4167788,36.13320369
2021,2021-01-06 21:00,야,수,1,4,1,3,0,전남,여수시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,1016864.8,1638874.7,127.6842447,34.74418062
2021,2021-01-07 11:00,주,목,1,2,0,1,1,경기,광명시,차대차,기타,기타,중앙선 침범,단일로,기타단일로,화물차,승용차,944584,1942408,126.8732285,37.47924367
2021,2021-01-07 11:00,주,목,1,0,0,0,0,경북,고령군,차대사람,기타,기타,기타,단일로,기타단일로,화물차,보행자,1078575,1752745,128.3692692,35.76795354
2021,2021-01-07 13:00,주,목,1,0,0,0,0,경남,진주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,교량위,승용차,없음,1057290,1693397,128.1296202,35.23433486
2021,2021-01-07 15:00,주,목,1,0,0,0,0,부산,강서구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,건설기계,보행자,1129256,1679555,128.918206,35.10286059
2021,2021-01-07 21:00,야,목,1,0,0,0,0,경남,창원시(통합),차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승용차,1101367,1695103,128.6141754,35.24622648
2021,2021-01-08 08:00,주,금,1,0,0,0,0,경기,안성시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,997577,1896158,127.4727451,37.06400482
2021,2021-01-08 16:00,주,금,1,0,0,0,0,경남,양산시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,1141106,1710912,129.0535672,35.38391485
2021,2021-01-08 16:00,주,금,1,0,0,0,0,경남,사천시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,승합차,1054531,1676124,128.098159,35.07874307
2021,2021-01-08 21:00,야,금,1,0,0,0,0,전남,영암군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,이륜차,903640,1640900,126.4471301,34.75803168
2021,2021-01-08 22:00,야,금,1,1,1,0,0,대전,유성구,차대차,추돌,추돌,중앙선 침범,단일로,기타단일로,승용차,승용차,982122,1817433,127.3007423,36.35414606
2021,2021-01-09 22:00,야,토,1,1,0,1,0,경남,진주시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승용차,1051916,1684909,128.0700275,35.1580939
2021,2021-01-10 16:00,주,일,1,0,0,0,0,대구,수성구,차대차,정면충돌,정면충돌,교차로 통행방법 위반,교차로,교차로내,승용차,이륜차,1103341,1763988,128.6446645,35.86701063
2021,2021-01-10 16:00,주,일,1,0,0,0,0,경기,의정부시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승합차,보행자,960605,1972312,127.0528136,37.74959718
2021,2021-01-11 03:00,야,월,1,0,0,0,0,전남,순천시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1002189.9,1661245.3,127.5239827,34.94604834
2021,2021-01-11 04:00,야,월,1,0,0,0,0,경남,김해시,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,건설기계,보행자,1124513,1695683,128.8686139,35.24884566
2021,2021-01-11 10:00,주,월,1,0,0,0,0,강원,홍천군,차량단독,전복,전복,안전운전 의무 불이행,단일로,지하차도(도로)내,기타,없음,1047253,1972801,128.0364139,37.75363231
2021,2021-01-11 13:00,주,월,1,0,0,0,0,서울,동작구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,화물차,보행자,951895.2,1946175.9,126.9556702,37.51361446
2021,2021-01-11 17:00,주,월,1,0,0,0,0,전남,나주시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,934738,1662843,126.7851814,34.95835448
2021,2021-01-11 18:00,야,월,1,0,0,0,0,강원,인제군,차대사람,길가장자리구역통행중,길가장자리구역통행중,중앙선 침범,단일로,기타단일로,화물차,보행자,1050143.2,1994926.3,128.0707572,37.95288663
2021,2021-01-12 16:00,주,화,1,1,1,0,0,충남,서천군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,특수차,승용차,920503,1795508,126.616247,36.15338497
2021,2021-01-12 18:00,야,화,1,0,0,0,0,서울,서초구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,959962.7,1940474.5,127.0472654,37.46261086
2021,2021-01-12 18:00,야,화,1,1,1,0,0,충남,논산시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,979795,1802353,127.2751973,36.21814712
2021,2021-01-13 06:00,주,수,1,0,0,0,0,서울,종로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,원동기장치자전거,보행자,956379,1952805,127.0060108,37.57358721
2021,2021-01-13 07:00,주,수,1,0,0,0,0,경남,김해시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1122876,1698169,128.8509968,35.27145794
2021,2021-01-13 09:00,주,수,1,1,0,1,0,충남,당진시,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로부근,화물차,승용차,929838,1887089,126.711668,36.979639
2021,2021-01-13 09:00,주,수,1,2,2,0,0,충남,태안군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,889420,1862094,126.2612575,36.75048753
2021,2021-01-13 12:00,주,수,1,0,0,0,0,서울,강남구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,화물차,보행자,964830,1943123,127.1021761,37.48668113
2021,2021-01-13 13:00,주,수,1,0,0,0,0,충남,홍성군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,농기계,926523,1843124,126.6786643,36.58309286
2021,2021-01-13 19:00,야,수,1,0,0,0,0,전남,목포시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,897774,1645429,126.3824957,34.79829436
2021,2021-01-14 00:00,야,목,1,1,1,0,0,경남,창원시(통합),차대차,측면충돌,측면충돌,기타,교차로,교차로부근,승용차,승용차,1097862,1691827,128.5752665,35.21704021
2021,2021-01-14 06:00,주,목,1,0,0,0,0,경북,의성군,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로부근,승용차,자전거,1098625,1812915,128.5985564,36.30853271
2021,2021-01-14 13:00,주,목,1,2,1,1,0,인천,미추홀구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,923716,1938616,126.6376189,37.44357983
2021,2021-01-14 17:00,주,목,1,2,2,0,0,경남,창원시(통합),차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승용차,1095942,1685240,128.5534068,35.15783976
2021,2021-01-14 19:00,야,목,1,1,1,0,0,전남,강진군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,931653,1627520,126.7542674,34.63964444
2021,2021-01-14 20:00,야,목,1,0,0,0,0,경기,안산시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,개인형이동수단(PM),승용차,934853,1925553,126.7646618,37.32669331
2021,2021-01-15 01:00,야,금,1,0,0,0,0,대구,서구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1095861.3,1763020.8,128.561712,35.8590525
2021,2021-01-15 02:00,야,금,1,0,0,0,0,광주,북구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,개인형이동수단(PM),945591,1685871,126.9025377,35.1666361
2021,2021-01-15 04:00,야,금,1,0,0,0,0,경남,창원시(통합),차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1106504,1691318,128.6701384,35.21157094
2021,2021-01-15 09:00,주,금,1,0,0,0,0,강원,강릉시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,이륜차,1126916.3,1974980,128.9409487,37.76568229
2021,2021-01-15 09:00,주,금,1,0,0,0,0,경남,거창군,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,건설기계,1032313,1750044,127.8573826,35.74621106
2021,2021-01-15 14:00,주,금,1,0,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,화물차,보행자,973368,1968531,127.1978271,37.71597896
2021,2021-01-15 18:00,야,금,1,0,0,0,0,전북,전주시,차대사람,기타,기타,신호위반,교차로,교차로내,승용차,보행자,967206,1758849,127.1369367,35.82558176
2021,2021-01-15 22:00,야,금,1,0,0,0,0,경기,광주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,981352,1941353,127.2891072,37.47120846
2021,2021-01-16 04:00,야,토,1,2,0,1,1,경기,용인시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,988494,1907913,127.3703954,37.16989961
2021,2021-01-16 06:00,주,토,1,0,0,0,0,경남,함안군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1090418,1705383,128.4949802,35.33995534
2021,2021-01-16 13:00,주,토,1,1,1,0,0,경남,함안군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1082411,1698233,128.4061605,35.2761851
2021,2021-01-16 14:00,주,토,2,0,0,0,0,전남,보성군,차대사람,길가장자리구역통행중,길가장자리구역통행중,중앙선 침범,단일로,기타단일로,화물차,보행자,985159,1652264,127.3376282,34.86495269
2021,2021-01-16 20:00,야,토,1,0,0,0,0,경기,용인시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,974723,1914971,127.2150399,37.23324933
2021,2021-01-17 06:00,주,일,1,0,0,0,0,경기,화성시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,947908,1897310,126.9139817,37.0729448
2021,2021-01-17 12:00,주,일,1,0,0,0,0,경북,안동시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,화물차,보행자,1109428,1841565,128.7229098,36.56559564
2021,2021-01-17 17:00,주,일,1,1,0,1,0,경기,김포시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,915817,1968696,126.5448756,37.71398444
2021,2021-01-18 06:00,주,월,1,0,0,0,0,서울,노원구,차량단독,공작물충돌,공작물충돌,기타,단일로,기타단일로,화물차,없음,962841,1958725,127.0788875,37.6272293
2021,2021-01-18 07:00,주,월,1,3,1,2,0,충남,당진시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,화물차,935414,1868273,126.7759185,36.81043358
2021,2021-01-18 07:00,주,월,1,0,0,0,0,경남,김해시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,1111711,1698797,128.7283518,35.27842777
2021,2021-01-18 11:00,주,월,1,0,0,0,0,강원,홍천군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1031652.7,1964192,127.8589494,37.67671097
2021,2021-01-18 13:00,주,월,1,1,1,0,0,전남,여수시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,기타,1020118,1625807,127.7194739,34.6262792
2021,2021-01-18 20:00,야,월,1,0,0,0,0,경기,부천시,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로부근,이륜차,화물차,935440,1943420,126.7697255,37.48777093
2021,2021-01-18 20:00,야,월,1,0,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,1098667,1694454,128.5844252,35.240645
2021,2021-01-18 21:00,야,월,1,0,0,0,0,경기,평택시,차대사람,횡단중,횡단중,기타,교차로,교차로횡단보도내,승용차,보행자,961834,1896030,127.0707051,37.06207733
2021,2021-01-18 23:00,야,월,1,0,0,0,0,경북,칠곡군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1085400,1778256,128.4475002,35.99736299
2021,2021-01-19 04:00,야,화,1,2,1,1,0,서울,영등포구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,945366.3,1947081.3,126.8817289,37.52141139
2021,2021-01-19 05:00,야,화,1,1,0,1,0,인천,부평구,차대차,추돌,추돌,안전거리 미확보,단일로,기타단일로,화물차,화물차,933393,1947443,126.746208,37.52388434
2021,2021-01-19 13:00,주,화,1,0,0,0,0,경기,화성시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,953231,1912872,126.9728889,37.21349874
2021,2021-01-19 14:00,주,화,1,0,0,0,0,세종,세종시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,974773,1847982,127.2178382,36.62938346
2021,2021-01-19 20:00,야,화,1,0,0,0,0,전남,영암군,차대사람,보도통행중,보도통행중,신호위반,단일로,기타단일로,승용차,보행자,906021,1641403,126.473086,34.76278905
2021,2021-01-19 20:00,야,화,1,0,0,0,0,경기,파주시,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승합차,없음,945138,1983393,126.8764114,37.84866976
2021,2021-01-19 21:00,야,화,1,0,0,0,0,전남,해남군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,889371,1631156,126.2925274,34.66873343
2021,2021-01-20 00:00,야,수,1,0,0,0,0,경기,성남시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,969723,1937048,127.1577717,37.4320971
2021,2021-01-20 05:00,야,수,1,0,0,0,0,서울,구로구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,이륜차,승용차,946572.5,1943827.8,126.8956148,37.49215776
2021,2021-01-20 06:00,주,수,1,0,0,0,0,경기,평택시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,957380,1891116,127.0208859,37.01759039
2021,2021-01-20 06:00,주,수,1,1,0,1,0,충북,청주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,995770,1840389,127.4527293,36.56125697
2021,2021-01-20 10:00,주,수,1,0,0,0,0,경기,안산시,차대사람,기타,기타,기타,단일로,기타단일로,승용차,보행자,940991,1922911,126.8341492,37.30329034
2021,2021-01-20 17:00,주,수,1,1,0,0,1,경북,성주군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,1072271,1767288,128.3008514,35.89954703
2021,2021-01-20 18:00,야,수,1,0,0,0,0,충남,보령시,차량단독,전도,전도,안전운전 의무 불이행,불명,불명,이륜차,없음,921654,1800904,126.6285025,36.20212166
2021,2021-01-20 19:00,야,수,1,0,0,0,0,충남,태안군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,903636,1823615,126.425299,36.40520931
2021,2021-01-20 22:00,야,수,1,0,0,0,0,서울,동작구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,953432,1945255,126.9731176,37.505393
2021,2021-01-21 06:00,주,목,1,0,0,0,0,경남,사천시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1052723,1661263,128.0773852,34.94483816
2021,2021-01-21 07:00,주,목,1,0,0,0,0,전남,보성군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,969537,1642592,127.1670648,34.77738658
2021,2021-01-21 08:00,주,목,1,0,0,0,0,서울,노원구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,961790.3,1960916.8,127.0668659,37.64694133
2021,2021-01-21 08:00,주,목,1,0,0,0,0,경기,화성시,차대차,기타,기타,안전운전 의무 불이행,기타,기타,사륜오토바이(ATV),승용차,934497,1912606,126.7617839,37.20997348
2021,2021-01-21 10:00,주,목,1,2,1,1,0,충북,청주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,교량위,화물차,화물차,1003283,1835589,127.5366674,36.51798808
2021,2021-01-21 10:00,주,목,1,0,0,0,0,경기,구리시,차대사람,보도통행중,보도통행중,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,보행자,968010,1954322,127.1376578,37.58773816
2021,2021-01-21 11:00,주,목,1,0,0,0,0,경기,시흥시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,932139,1925566,126.7340291,37.32661615
2021,2021-01-21 14:00,주,목,1,0,0,0,0,충남,아산시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승합차,보행자,956889.6,1865219,127.0168473,36.78412576
2021,2021-01-21 14:00,주,목,1,0,0,0,0,경북,청도군,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,자전거,없음,1126752,1744034,128.9007563,35.68440355
2021,2021-01-21 15:00,주,목,1,0,0,0,0,서울,강동구,차대사람,기타,기타,기타,단일로,기타단일로,화물차,보행자,967462,1949068,127.1316841,37.54036264
2021,2021-01-21 18:00,야,목,1,0,0,0,0,부산,동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,1142106.7,1683547.1,129.0598464,35.13711391
2021,2021-01-21 18:00,야,목,1,1,0,1,0,전북,익산시,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로내,화물차,승용차,950632.7,1770632.3,126.9527293,35.93112239
2021,2021-01-21 18:00,야,목,1,0,0,0,0,전남,장흥군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,947664,1619044,126.9294772,34.56415448
2021,2021-01-21 18:00,야,목,1,0,0,0,0,경북,포항시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1166138,1796132,129.3467233,36.14803008
2021,2021-01-21 21:00,야,목,1,0,0,0,0,경기,파주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,없음,937468,1984279,126.7891595,37.85616086
2021,2021-01-22 01:00,야,금,1,0,0,0,0,부산,중구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1139363,1679697,129.0290908,35.10279282
2021,2021-01-22 02:00,야,금,1,0,0,0,0,강원,속초시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,이륜차,없음,1095101,2021349,128.5859416,38.18739129
2021,2021-01-22 07:00,주,금,1,0,0,0,0,경남,고성군,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,1074001,1664961,128.3107175,34.97685059
2021,2021-01-22 07:00,주,금,1,0,0,0,0,경기,포천시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,981225,1993368,127.2863292,37.94003214
2021,2021-01-22 18:00,야,금,1,1,0,1,0,충북,단양군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,건설기계,1079615,1879921,128.3937786,36.91427813
2021,2021-01-22 18:00,야,금,1,0,0,0,0,충남,공주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,951402,1834786,126.9572766,36.50951998
2021,2021-01-22 19:00,야,금,1,0,0,0,0,경기,용인시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,977111,1924326,127.2416727,37.31763625
2021,2021-01-22 19:00,야,금,1,2,0,2,0,전북,진안군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,지하차도(도로)내,승용차,승용차,987139,1759749,127.3575999,35.83416032
2021,2021-01-23 07:00,주,토,1,0,0,0,0,전남,무안군,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,건설기계,이륜차,898094,1673747,126.3825368,35.0536369
2021,2021-01-23 08:00,주,토,1,2,2,0,0,경기,평택시,차대차,정면충돌,정면충돌,중앙선 침범,기타,기타,승용차,승용차,948560,1891652,126.9217032,37.02198018
2021,2021-01-23 14:00,주,토,1,1,0,0,1,강원,원주시,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,1026204.7,1914964.4,127.7954182,37.23316421
2021,2021-01-23 20:00,야,토,1,0,0,0,0,서울,구로구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,이륜차,942247.7,1944897.4,126.8466104,37.50153775
2021,2021-01-23 20:00,야,토,1,0,0,0,0,강원,양구군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1042819,2011933,127.9884088,38.10653486
2021,2021-01-24 01:00,야,일,1,0,0,0,0,경기,평택시,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,승용차,보행자,968100,1892127,127.1413498,37.02712909
